email_id,subject,body,label
abc@xyz.com,Hello,Let's catch up soon,ham
offer@spam.com,Win now,You've won a free iPhone!,spam
promo@deals.com,Limited Offer,Get 50% off on all items!,spam
noreply@bank.com,Account Alert,Your account has been accessed from a new device,ham
lottery@spam.com,Congratulations,You have won $1,000,000!,spam
friend@abc.com,Weekend Plans,Are we still on for the weekend?,ham
ads@promo.com,Exclusive Deal,Buy one get one free on all products!,spam
team@work.com,Meeting Reminder,Don't forget about the team meeting tomorrow,ham
support@service.com,Password Reset,Click here to reset your password,ham
deals@shopping.com,Flash Sale,Up to 70% off on electronics!,spam
news@updates.com,Daily News,Here are today's top headlines,ham
lottery@spam.com,Claim Your Prize,You are the lucky winner of $500,000!,spam
friend@xyz.com,Happy Birthday,Wishing you a wonderful birthday!,ham
ads@promo.com,Special Discount,Save 30% on your next purchase!,spam
noreply@alerts.com,Security Update,Your account password was changed,ham
promo@offers.com,Free Gift,Claim your free gift now!,spam
team@work.com,Project Update,Please review the latest project updates,ham
offers@deals.com,Exclusive Offer,Get a free trial for 30 days!,spam
info@newsletter.com,Weekly Digest,Here is your weekly newsletter,ham
ads@spam.com,Win Big,Enter to win a brand-new car!,spam
friend@abc.com,Check This Out,Have you seen this amazing article?,ham
promo@deals.com,Limited Time,Act now to save big!,spam
noreply@bank.com,Transaction Alert,A withdrawal of $500 was made,ham
lottery@spam.com,You Won,Claim your $10,000 prize now!,spam
team@work.com,Meeting Notes,Here are the notes from today's meeting,ham
ads@promo.com,Hot Deals,Don't miss out on these amazing deals!,spam
friend@xyz.com,Trip Photos,Check out the photos from our trip!,ham
promo@spam.com,Act Fast,This offer expires in 24 hours!,spam
noreply@service.com,Account Verification,Please verify your email address,ham
ads@shopping.com,New Arrivals,Check out the latest products in our store!,spam
friend@abc.com,Recipe Ideas,Here are some recipes you might like,ham
promo@deals.com,Free Trial,Start your free trial today!,spam
noreply@alerts.com,Login Alert,Your account was accessed from a new location,ham
lottery@spam.com,Big Win,You have won a luxury vacation!,spam
team@work.com,Task Reminder,Don't forget to complete your assigned tasks,ham
ads@promo.com,Limited Stock,Hurry! Only a few items left!,spam
friend@xyz.com,Book Recommendation,You should read this book!,ham
promo@spam.com,Exclusive Access,Get exclusive access to premium content!,spam
noreply@service.com,Subscription Renewal,Your subscription is about to expire,ham
ads@shopping.com,Holiday Sale,Save big during our holiday sale!,spam
friend@abc.com,Event Invitation,You're invited to our annual event!,ham
promo@deals.com,Special Offer,Buy now and save 20%!,spam
noreply@alerts.com,Payment Confirmation,Your payment has been successfully processed,ham
lottery@spam.com,Instant Cash,Win $5,000 instantly!,spam
team@work.com,Feedback Request,Please provide feedback on the recent project,ham
ads@promo.com,Exclusive Sale,Shop now for exclusive discounts!,spam
friend@xyz.com,Movie Night,Let's watch a movie this weekend!,ham
promo@spam.com,Win a Trip,Enter to win a trip to Hawaii!,spam
noreply@service.com,Account Update,Your account details have been updated,ham
ads@shopping.com,Clearance Sale,Everything must go! Huge discounts!,spam
friend@abc.com,Study Group,Are we meeting for the study group tomorrow?,ham
promo@deals.com,Free Shipping,Enjoy free shipping on all orders!,spam
noreply@alerts.com,Invoice Available,Your invoice is ready for download,ham
lottery@spam.com,Grand Prize,You are the grand prize winner!,spam
team@work.com,Training Session,Join the training session at 3 PM,ham
ads@promo.com,New Collection,Explore our new collection now!,spam
friend@xyz.com,Concert Tickets,Do you want to go to the concert?,ham
promo@spam.com,Act Now,Limited-time offer just for you!,spam
